mode: atomic
HealthHub360/main.go:23.13,25.2 1 1
HealthHub360/controllers/medicalRecord.go:44.16,47.3 2 0
HealthHub360/controllers/medicalRecord.go:48.2,49.16 2 0
HealthHub360/controllers/medicalRecord.go:49.16,52.3 2 0
HealthHub360/controllers/medicalRecord.go:53.2,53.40 1 0
HealthHub360/controllers/medicalRecord.go:56.48,59.16 3 0
HealthHub360/controllers/medicalRecord.go:59.16,62.3 2 0
HealthHub360/controllers/medicalRecord.go:63.2,63.41 1 0
HealthHub360/controllers/medicines.go:14.36,16.2 2 0
HealthHub360/controllers/medicines.go:16.2,22.3 5 0
HealthHub360/controllers/medicines.go:24.38,26.42 2 0
HealthHub360/controllers/medicines.go:26.42,29.3 2 0
HealthHub360/controllers/medicines.go:30.2,31.16 2 0
HealthHub360/controllers/medicines.go:31.16,34.3 2 0
HealthHub360/controllers/medicines.go:35.2,35.50 1 0
HealthHub360/controllers/medicines.go:38.42,41.16 3 0
HealthHub360/controllers/medicines.go:41.16,44.3 2 0
HealthHub360/controllers/medicines.go:45.2,45.55 1 0
HealthHub360/controllers/medicines.go:48.40,50.16 2 0
HealthHub360/controllers/medicines.go:50.16,53.3 2 0
HealthHub360/controllers/medicines.go:54.2,54.56 1 0
HealthHub360/controllers/medicines.go:56.38,59.42 3 0
HealthHub360/controllers/medicines.go:59.42,61.3 1 0
HealthHub360/controllers/medicines.go:62.2,63.16 2 0
HealthHub360/controllers/medicines.go:63.16,67.3 2 0
HealthHub360/controllers/medicines.go:68.2,68.50 1 0
HealthHub360/controllers/medicines.go:71.37,74.16 3 0
HealthHub360/controllers/medicines.go:74.16,78.3 2 0
HealthHub360/controllers/medicines.go:79.2,79.50 1 0
HealthHub360/controllers/nurse.go:12.32,14.2 2 0
HealthHub360/controllers/nurse.go:14.2,20.3 5 0
HealthHub360/controllers/nurse.go:27.34,29.42 2 0
HealthHub360/controllers/nurse.go:29.42,32.3 2 0
HealthHub360/controllers/nurse.go:33.2,34.16 2 0
HealthHub360/controllers/nurse.go:34.16,37.3 2 0
HealthHub360/controllers/nurse.go:38.2,38.45 1 0
HealthHub360/controllers/nurse.go:46.34,49.42 3 0
HealthHub360/controllers/nurse.go:49.42,52.3 2 0
HealthHub360/controllers/nurse.go:53.2,54.16 2 0
HealthHub360/controllers/nurse.go:54.16,57.3 2 0
HealthHub360/controllers/nurse.go:58.2,58.40 1 0
HealthHub360/controllers/nurse.go:65.39,68.16 3 0
HealthHub360/controllers/nurse.go:68.16,71.3 2 0
HealthHub360/controllers/nurse.go:72.2,72.41 1 0
HealthHub360/controllers/nurse.go:78.37,80.16 2 0
HealthHub360/controllers/nurse.go:80.16,83.3 2 0
HealthHub360/controllers/nurse.go:84.2,84.40 1 0
HealthHub360/controllers/nurse.go:90.40,93.16 3 0
HealthHub360/controllers/nurse.go:93.16,96.3 2 0
HealthHub360/controllers/nurse.go:97.2,97.40 1 0
HealthHub360/controllers/patient.go:14.34,16.2 2 0
HealthHub360/controllers/patient.go:16.2,22.3 5 0
HealthHub360/controllers/patient.go:25.36,28.16 3 0
HealthHub360/controllers/patient.go:28.16,31.3 2 0
HealthHub360/controllers/patient.go:32.2,33.16 2 0
HealthHub360/controllers/patient.go:33.16,36.3 2 0
HealthHub360/controllers/patient.go:37.2,37.40 1 0
HealthHub360/controllers/patient.go:40.41,43.16 3 0
HealthHub360/controllers/patient.go:43.16,46.3 2 0
HealthHub360/controllers/patient.go:47.2,47.54 1 0
HealthHub360/controllers/patient.go:50.42,53.42 3 0
HealthHub360/controllers/patient.go:53.42,56.3 2 0
HealthHub360/controllers/patient.go:57.2,58.16 2 0
HealthHub360/controllers/patient.go:58.16,61.3 2 0
HealthHub360/controllers/patient.go:62.2,62.50 1 0
HealthHub360/controllers/patient.go:65.39,67.16 2 0
HealthHub360/controllers/patient.go:67.16,70.3 2 0
HealthHub360/controllers/patient.go:71.2,71.55 1 0
HealthHub360/controllers/patient.go:74.36,77.16 3 0
HealthHub360/controllers/patient.go:77.16,80.3 2 0
HealthHub360/controllers/patient.go:81.2,81.50 1 0
HealthHub360/controllers/pharmacist.go:14.37,16.2 2 0
HealthHub360/controllers/pharmacist.go:16.2,22.3 5 0
HealthHub360/controllers/pharmacist.go:25.41,28.16 3 0
HealthHub360/controllers/pharmacist.go:28.16,31.3 2 0
HealthHub360/controllers/pharmacist.go:32.2,33.16 2 0
HealthHub360/controllers/pharmacist.go:33.16,36.3 2 0
HealthHub360/controllers/pharmacist.go:37.2,37.61 1 0
HealthHub360/controllers/pharmacist.go:40.44,43.16 3 0
HealthHub360/controllers/pharmacist.go:43.16,46.3 2 0
HealthHub360/controllers/pharmacist.go:47.2,47.41 1 0
HealthHub360/controllers/pharmacist.go:50.41,52.16 2 0
HealthHub360/controllers/pharmacist.go:52.16,55.3 2 0
HealthHub360/controllers/pharmacist.go:56.2,56.40 1 0
HealthHub360/controllers/pharmacist.go:59.39,62.16 3 0
HealthHub360/controllers/pharmacist.go:62.16,65.3 2 0
HealthHub360/controllers/pharmacist.go:66.2,68.16 3 0
HealthHub360/controllers/pharmacist.go:68.16,71.3 2 0
HealthHub360/controllers/pharmacist.go:72.2,72.40 1 0
HealthHub360/controllers/pharmacist.go:75.45,78.16 3 0
HealthHub360/controllers/pharmacist.go:78.16,81.3 2 0
HealthHub360/controllers/pharmacist.go:82.2,82.40 1 0
HealthHub360/controllers/prescription.go:14.39,16.2 2 0
HealthHub360/controllers/prescription.go:16.2,22.3 5 0
HealthHub360/controllers/prescription.go:24.41,27.42 3 0
HealthHub360/controllers/prescription.go:27.42,30.3 2 0
HealthHub360/controllers/prescription.go:31.2,32.16 2 0
HealthHub360/controllers/prescription.go:32.16,35.3 2 0
HealthHub360/controllers/prescription.go:36.2,36.50 1 0
HealthHub360/controllers/prescription.go:39.46,42.16 3 0
HealthHub360/controllers/prescription.go:42.16,45.3 2 0
HealthHub360/controllers/prescription.go:46.2,46.59 1 0
HealthHub360/controllers/prescription.go:49.44,51.16 2 0
HealthHub360/controllers/prescription.go:51.16,54.3 2 0
HealthHub360/controllers/prescription.go:55.2,55.60 1 0
HealthHub360/controllers/prescription.go:58.41,62.42 4 0
HealthHub360/controllers/prescription.go:62.42,65.3 2 0
HealthHub360/controllers/prescription.go:66.2,67.16 2 0
HealthHub360/controllers/prescription.go:67.16,70.3 2 0
HealthHub360/controllers/prescription.go:71.2,71.50 1 0
HealthHub360/controllers/prescription.go:74.47,77.16 3 0
HealthHub360/controllers/prescription.go:77.16,80.3 2 0
HealthHub360/controllers/prescription.go:81.2,81.41 1 0
HealthHub360/controllers/receptionist.go:14.39,16.2 2 0
HealthHub360/controllers/receptionist.go:16.2,22.3 5 0
HealthHub360/controllers/receptionist.go:25.43,28.16 3 0
HealthHub360/controllers/receptionist.go:28.16,31.3 2 0
HealthHub360/controllers/receptionist.go:32.2,33.16 2 0
HealthHub360/controllers/receptionist.go:33.16,36.3 2 0
HealthHub360/controllers/receptionist.go:37.2,37.61 1 0
HealthHub360/controllers/receptionist.go:40.46,43.16 3 0
HealthHub360/controllers/receptionist.go:43.16,46.3 2 0
HealthHub360/controllers/receptionist.go:47.2,47.41 1 0
HealthHub360/controllers/receptionist.go:50.43,52.16 2 0
HealthHub360/controllers/receptionist.go:52.16,55.3 2 0
HealthHub360/controllers/receptionist.go:56.2,56.40 1 0
HealthHub360/controllers/receptionist.go:59.41,62.42 3 0
HealthHub360/controllers/receptionist.go:62.42,65.3 2 0
HealthHub360/controllers/receptionist.go:66.2,67.16 2 0
HealthHub360/controllers/receptionist.go:67.16,70.3 2 0
HealthHub360/controllers/receptionist.go:71.2,71.40 1 0
HealthHub360/controllers/receptionist.go:74.41,77.16 3 0
HealthHub360/controllers/receptionist.go:77.16,80.3 2 0
HealthHub360/controllers/receptionist.go:81.2,81.40 1 0
HealthHub360/controllers/role.go:15.31,17.2 2 0
HealthHub360/controllers/role.go:17.2,23.3 5 0
HealthHub360/controllers/role.go:31.33,35.46 2 0
HealthHub360/controllers/role.go:35.46,38.3 2 0
HealthHub360/controllers/role.go:40.2,41.16 2 0
HealthHub360/controllers/role.go:41.16,44.3 2 0
HealthHub360/controllers/role.go:46.2,46.59 1 0
HealthHub360/controllers/role.go:52.32,54.16 2 0
HealthHub360/controllers/role.go:54.16,57.3 2 0
HealthHub360/controllers/role.go:58.2,58.51 1 0
HealthHub360/controllers/role.go:64.33,68.42 3 0
HealthHub360/controllers/role.go:68.42,71.3 2 0
HealthHub360/controllers/role.go:73.2,74.16 2 0
HealthHub360/controllers/role.go:74.16,77.3 2 0
HealthHub360/controllers/role.go:79.2,79.44 1 0
HealthHub360/controllers/role.go:85.36,89.16 4 0
HealthHub360/controllers/role.go:89.16,92.3 2 0
HealthHub360/controllers/role.go:93.2,93.41 1 0
HealthHub360/controllers/role.go:100.33,104.16 4 0
HealthHub360/controllers/role.go:104.16,107.3 2 0
HealthHub360/controllers/role.go:108.2,108.59 1 0
HealthHub360/controllers/superAdmin.go:14.37,16.2 2 0
HealthHub360/controllers/superAdmin.go:16.2,19.3 2 0
HealthHub360/controllers/superAdmin.go:22.41,25.16 3 0
HealthHub360/controllers/superAdmin.go:25.16,28.3 2 0
HealthHub360/controllers/superAdmin.go:29.2,30.16 2 0
HealthHub360/controllers/superAdmin.go:30.16,33.3 2 0
HealthHub360/controllers/superAdmin.go:34.2,34.61 1 0
HealthHub360/controllers/superAdmin.go:37.46,40.16 3 0
HealthHub360/controllers/superAdmin.go:40.16,43.3 2 0
HealthHub360/controllers/superAdmin.go:44.2,44.43 1 0
HealthHub360/controllers/superAdmin.go:47.41,49.44 2 0
HealthHub360/controllers/superAdmin.go:49.44,52.3 2 0
HealthHub360/controllers/superAdmin.go:53.2,55.16 3 0
HealthHub360/controllers/superAdmin.go:55.16,58.3 2 0
HealthHub360/controllers/superAdmin.go:59.2,60.61 2 0
HealthHub360/controllers/tenant.go:15.33,17.2 2 0
HealthHub360/controllers/tenant.go:17.2,23.3 5 0
HealthHub360/controllers/tenant.go:26.35,28.50 2 0
HealthHub360/controllers/tenant.go:28.50,31.3 2 0
HealthHub360/controllers/tenant.go:32.2,32.57 1 0
HealthHub360/controllers/tenant.go:32.57,35.3 2 0
HealthHub360/controllers/tenant.go:36.2,36.69 1 0
HealthHub360/controllers/tenant.go:39.40,42.16 3 0
HealthHub360/controllers/tenant.go:42.16,45.3 2 0
HealthHub360/controllers/tenant.go:46.2,46.53 1 0
HealthHub360/controllers/tenant.go:54.31,56.16 2 0
HealthHub360/controllers/tenant.go:56.16,59.3 2 0
HealthHub360/controllers/tenant.go:60.2,60.54 1 0
HealthHub360/controllers/tenant.go:68.35,72.42 3 0
HealthHub360/controllers/tenant.go:72.42,75.3 2 0
HealthHub360/controllers/tenant.go:77.2,78.16 2 0
HealthHub360/controllers/tenant.go:78.16,81.3 2 0
HealthHub360/controllers/tenant.go:82.2,83.44 2 0
HealthHub360/controllers/tenant.go:91.41,94.16 3 0
HealthHub360/controllers/tenant.go:94.16,97.3 2 0
HealthHub360/controllers/tenant.go:98.2,100.4 1 0
HealthHub360/controllers/test.go:12.31,14.2 2 0
HealthHub360/controllers/test.go:14.2,20.3 5 0
HealthHub360/controllers/test.go:27.33,29.42 2 0
HealthHub360/controllers/test.go:29.42,32.3 2 0
HealthHub360/controllers/test.go:33.2,34.16 2 0
HealthHub360/controllers/test.go:34.16,37.3 2 0
HealthHub360/controllers/test.go:38.2,38.45 1 0
HealthHub360/controllers/test.go:46.33,49.42 3 0
HealthHub360/controllers/test.go:49.42,52.3 2 0
HealthHub360/controllers/test.go:53.2,53.59 1 0
HealthHub360/controllers/test.go:53.59,56.3 2 0
HealthHub360/controllers/test.go:57.2,57.59 1 0
HealthHub360/controllers/test.go:64.38,67.16 3 0
HealthHub360/controllers/test.go:67.16,70.3 2 0
HealthHub360/controllers/test.go:71.2,71.41 1 0
HealthHub360/controllers/test.go:78.36,81.16 3 0
HealthHub360/controllers/test.go:81.16,84.3 2 0
HealthHub360/controllers/test.go:85.2,85.43 1 0
HealthHub360/controllers/test.go:92.33,95.16 3 0
HealthHub360/controllers/test.go:95.16,98.3 2 0
HealthHub360/controllers/test.go:99.2,99.41 1 0
HealthHub360/controllers/testReport.go:14.37,18.2 3 0
HealthHub360/controllers/testReport.go:24.39,27.16 3 0
HealthHub360/controllers/testReport.go:27.16,30.3 2 0
HealthHub360/controllers/testReport.go:31.2,32.45 2 0
HealthHub360/controllers/testReport.go:35.44,38.16 3 0
HealthHub360/controllers/testReport.go:38.16,41.3 2 0
HealthHub360/controllers/testReport.go:42.2,42.47 1 0
HealthHub360/jobs/jobs.go:15.28,20.32 2 0
HealthHub360/jobs/jobs.go:20.32,23.3 2 0
HealthHub360/jobs/jobs.go:25.2,25.11 1 0
HealthHub360/jobs/jobs.go:27.26,31.28 3 0
HealthHub360/jobs/jobs.go:31.28,33.10 2 0
HealthHub360/jobs/jobs.go:33.10,35.12 2 0
HealthHub360/jobs/jobs.go:37.3,38.10 2 0
HealthHub360/jobs/jobs.go:38.10,40.12 2 0
HealthHub360/jobs/jobs.go:43.3,44.10 2 0
HealthHub360/jobs/jobs.go:44.10,46.12 2 0
HealthHub360/jobs/jobs.go:48.3,50.17 2 0
HealthHub360/jobs/jobs.go:50.17,52.4 1 0
HealthHub360/jobs/jobs.go:56.36,59.16 3 0
HealthHub360/jobs/jobs.go:59.16,61.3 1 0
HealthHub360/jobs/jobs.go:62.2,62.13 1 0
HealthHub360/jobs/jobs.go:64.102,72.30 5 0
HealthHub360/jobs/jobs.go:72.30,74.3 1 0
HealthHub360/jobs/jobs.go:75.2,77.16 3 0
HealthHub360/jobs/jobs.go:77.16,80.3 2 0
HealthHub360/jobs/jobs.go:81.2,94.12 4 0
HealthHub360/jobs/jobs.go:96.69,104.16 4 0
HealthHub360/jobs/jobs.go:104.16,106.3 1 0
HealthHub360/jobs/jobs.go:107.2,107.23 1 0
HealthHub360/jobs/jobs.go:109.76,116.32 5 0
HealthHub360/jobs/jobs.go:116.32,127.3 3 0
HealthHub360/jobs/jobs.go:128.2,128.14 1 0
HealthHub360/jobs/jobs.go:130.25,141.37 3 0
HealthHub360/jobs/jobs.go:141.37,149.17 3 0
HealthHub360/jobs/jobs.go:149.17,151.12 2 0
HealthHub360/jobs/jobs.go:154.3,154.17 1 0
HealthHub360/jobs/jobs.go:154.17,160.18 2 0
HealthHub360/jobs/jobs.go:160.18,162.5 1 0
HealthHub360/migrations/001_add_pharmacistId_in_bill.go:12.29,20.16 4 0
HealthHub360/migrations/001_add_pharmacistId_in_bill.go:20.16,22.3 1 0
HealthHub360/migrations/001_add_pharmacistId_in_bill.go:23.2,23.79 1 0
HealthHub360/migrations/002_update_loginAttempts_type.go:14.32,18.23 4 0
HealthHub360/migrations/002_update_loginAttempts_type.go:18.23,28.3 5 0
HealthHub360/migrations/002_update_loginAttempts_type.go:29.2,29.50 1 0
HealthHub360/migrations/003_remove_pharmacistId_in_bill.go:12.35,16.16 4 0
HealthHub360/migrations/003_remove_pharmacistId_in_bill.go:16.16,18.3 1 0
HealthHub360/migrations/003_remove_pharmacistId_in_bill.go:19.2,19.89 1 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:13.43,17.16 4 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:17.16,20.3 2 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:21.2,21.23 1 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:21.23,24.17 3 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:24.17,27.4 2 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:28.3,31.17 4 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:31.17,34.4 2 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:35.3,35.55 1 0
HealthHub360/migrations/004_update_loginAttempts_in_hospialAdmin.go:37.2,37.62 1 0
HealthHub360/routes/routes.go:11.28,38.2 23 0
HealthHub360/services/appointment.go:25.61,27.9 2 0
HealthHub360/services/appointment.go:27.9,30.3 2 0
HealthHub360/services/appointment.go:31.2,31.18 1 0
HealthHub360/services/appointment.go:37.66,39.27 2 0
HealthHub360/services/appointment.go:39.27,40.58 1 0
HealthHub360/services/appointment.go:40.58,43.4 2 0
HealthHub360/services/appointment.go:45.2,45.12 1 0
HealthHub360/services/appointment.go:53.106,56.16 2 0
HealthHub360/services/appointment.go:56.16,59.3 2 0
HealthHub360/services/appointment.go:60.2,61.9 2 0
HealthHub360/services/appointment.go:61.9,64.3 2 0
HealthHub360/services/appointment.go:66.2,67.16 2 0
HealthHub360/services/appointment.go:67.16,70.3 2 0
HealthHub360/services/appointment.go:71.2,72.9 2 0
HealthHub360/services/appointment.go:72.9,75.3 2 0
HealthHub360/services/appointment.go:77.2,77.32 1 0
HealthHub360/services/appointment.go:77.32,80.3 2 0
HealthHub360/services/appointment.go:81.2,81.20 1 0
HealthHub360/services/appointment.go:90.112,93.16 3 0
HealthHub360/services/appointment.go:93.16,94.34 1 0
HealthHub360/services/appointment.go:94.34,96.4 1 0
HealthHub360/services/appointment.go:97.3,97.18 1 0
HealthHub360/services/appointment.go:99.2,99.46 1 0
HealthHub360/services/appointment.go:99.46,101.3 1 0
HealthHub360/services/appointment.go:102.2,102.46 1 0
HealthHub360/services/appointment.go:102.46,104.3 1 0
HealthHub360/services/appointment.go:105.2,105.17 1 0
HealthHub360/services/appointment.go:108.81,110.36 2 0
HealthHub360/services/appointment.go:111.19,112.25 1 0
HealthHub360/services/appointment.go:112.25,114.4 1 0
HealthHub360/services/appointment.go:116.21,117.25 1 0
HealthHub360/services/appointment.go:117.25,119.4 1 0
HealthHub360/services/appointment.go:121.10,122.58 1 0
HealthHub360/services/appointment.go:124.2,124.23 1 0
HealthHub360/services/appointment.go:127.79,129.33 2 0
HealthHub360/services/appointment.go:129.33,130.42 1 0
HealthHub360/services/appointment.go:130.42,132.35 2 0
HealthHub360/services/appointment.go:132.35,134.5 1 0
HealthHub360/services/appointment.go:135.4,135.31 1 0
HealthHub360/services/appointment.go:135.31,137.5 1 0
HealthHub360/services/appointment.go:138.4,138.9 1 0
HealthHub360/services/appointment.go:142.2,142.16 1 0
HealthHub360/services/appointment.go:142.16,144.3 1 0
HealthHub360/services/appointment.go:145.2,145.12 1 0
HealthHub360/services/appointment.go:154.135,157.16 2 0
HealthHub360/services/appointment.go:157.16,159.3 1 0
HealthHub360/services/appointment.go:161.2,161.58 1 0
HealthHub360/services/appointment.go:161.58,163.3 1 0
HealthHub360/services/appointment.go:164.2,178.16 4 0
HealthHub360/services/appointment.go:178.16,180.3 1 0
HealthHub360/services/appointment.go:181.2,181.12 1 0
HealthHub360/services/appointment.go:189.174,191.16 2 0
HealthHub360/services/appointment.go:191.16,194.3 2 0
HealthHub360/services/appointment.go:196.2,211.16 3 0
HealthHub360/services/appointment.go:211.16,214.3 2 0
HealthHub360/services/appointment.go:215.2,219.16 5 0
HealthHub360/services/appointment.go:219.16,221.3 1 0
HealthHub360/services/appointment.go:222.2,223.16 2 0
HealthHub360/services/appointment.go:223.16,226.3 2 0
HealthHub360/services/appointment.go:227.2,227.25 1 0
HealthHub360/services/appointment.go:246.70,258.2 1 0
HealthHub360/services/appointment.go:259.76,262.27 3 0
HealthHub360/services/appointment.go:262.27,264.3 1 0
